threads,dq,event,value
10,256,task-clock,2120.0
10,256,cycles,5484947926.0
10,256,instructions,23160801384.0
10,256,cache-misses,389536367.0
10,256,branches,703957859.0
10,256,branch-misses,8064144.0
10,256,duration_time,554159442.0
10,512,task-clock,2035.0
10,512,cycles,5583560706.0
10,512,instructions,22824781765.0
10,512,cache-misses,260926653.0
10,512,branches,683672517.0
10,512,branch-misses,55914.0
10,512,duration_time,534700513.0
12,256,task-clock,2087.0
12,256,cycles,5432705670.0
12,256,instructions,23166987717.0
12,256,cache-misses,367712119.0
12,256,branches,705724987.0
12,256,branch-misses,7853884.0
12,256,duration_time,542641888.0
12,512,task-clock,2049.0
12,512,cycles,5573152968.0
12,512,instructions,22828282231.0
12,512,cache-misses,249827771.0
12,512,branches,684671997.0
12,512,branch-misses,55545.0
12,512,duration_time,534193708.0
1,2,task-clock,194874.0
1,2,cycles,243401149117.0
1,2,instructions,723675288400.0
1,2,cache-misses,16302109.0
1,2,branches,106633259370.0
1,2,branch-misses,1389916150.0
1,2,duration_time,195031746857.0
1,4,task-clock,29328.0
1,4,cycles,45859990599.0
1,4,instructions,154321489272.0
1,4,cache-misses,13979512.0
1,4,branches,16115435543.0
1,4,branch-misses,176886619.0
1,4,duration_time,29357129077.0
1,8,task-clock,7226.0
1,8,cycles,16940650852.0
1,8,instructions,57066473559.0
1,8,cache-misses,11641425.0
1,8,branches,3629173932.0
1,8,branch-misses,26030752.0
1,8,duration_time,7229504092.0
1,16,task-clock,3419.0
1,16,cycles,10014945073.0
1,16,instructions,35346387598.0
1,16,cache-misses,11826812.0
1,16,branches,1539325680.0
1,16,branch-misses,3918556.0
1,16,duration_time,3422690944.0
1,32,task-clock,2095.0
1,32,cycles,6467364237.0
1,32,instructions,28227253431.0
1,32,cache-misses,9793668.0
1,32,branches,1020124003.0
1,32,branch-misses,838647.0
1,32,duration_time,2097755030.0
1,64,task-clock,1648.0
1,64,cycles,5150690752.0
1,64,instructions,25229616413.0
1,64,cache-misses,9917660.0
1,64,branches,827800312.0
1,64,branch-misses,1203554.0
1,64,duration_time,1650822910.0
1,128,task-clock,1562.0
1,128,cycles,4910084504.0
1,128,instructions,23824691764.0
1,128,cache-misses,13813217.0
1,128,branches,740452661.0
1,128,branch-misses,323538.0
1,128,duration_time,1563971865.0
1,256,task-clock,1719.0
1,256,cycles,5400434987.0
1,256,instructions,23139852895.0
1,256,cache-misses,143091864.0
1,256,branches,697976824.0
1,256,branch-misses,7280131.0
1,256,duration_time,1721154998.0
1,512,task-clock,1546.0
1,512,cycles,4863233818.0
1,512,instructions,22801115318.0
1,512,cache-misses,45574016.0
1,512,branches,676914136.0
1,512,branch-misses,51671.0
1,512,duration_time,1547585555.0
1,1024,task-clock,1506.0
1,1024,cycles,4712058305.0
1,1024,instructions,22632575051.0
1,1024,cache-misses,25573296.0
1,1024,branches,666410785.0
1,1024,branch-misses,38373.0
1,1024,duration_time,1507699531.0
1,2048,task-clock,1658.0
1,2048,cycles,5184802904.0
1,2048,instructions,22548497617.0
1,2048,cache-misses,6141076.0
1,2048,branches,661163638.0
1,2048,branch-misses,1081663.0
1,2048,duration_time,1660475569.0
2,2,task-clock,197877.0
2,2,cycles,254945584711.0
2,2,instructions,733632799386.0
2,2,cache-misses,162625369.0
2,2,branches,108587525108.0
2,2,branch-misses,1386248187.0
2,2,duration_time,99637830110.0
2,4,task-clock,28684.0
2,4,cycles,45444049048.0
2,4,instructions,155580122540.0
2,4,cache-misses,26184731.0
2,4,branches,16362181307.0
2,4,branch-misses,175181341.0
2,4,duration_time,14489516113.0
2,8,task-clock,6923.0
2,8,cycles,16205769312.0
2,8,instructions,57222820397.0
2,8,cache-misses,8419588.0
2,8,branches,3659659583.0
2,8,branch-misses,25812147.0
2,8,duration_time,3492134843.0
2,16,task-clock,3103.0
2,16,cycles,9058892045.0
2,16,instructions,35368937239.0
2,16,cache-misses,4706269.0
2,16,branches,1543965030.0
2,16,branch-misses,3884680.0
2,16,duration_time,1585607321.0
2,32,task-clock,1929.0
2,32,cycles,5978973280.0
2,32,instructions,28230557997.0
2,32,cache-misses,8161134.0
2,32,branches,1020858580.0
2,32,branch-misses,799829.0
2,32,duration_time,992618609.0
2,64,task-clock,1575.0
2,64,cycles,4938304695.0
2,64,instructions,25232712383.0
2,64,cache-misses,8468859.0
2,64,branches,828657058.0
2,64,branch-misses,1185117.0
2,64,duration_time,819424421.0
2,128,task-clock,1481.0
2,128,cycles,4660215925.0
2,128,instructions,23827363092.0
2,128,cache-misses,11894534.0
2,128,branches,741211284.0
2,128,branch-misses,313429.0
2,128,duration_time,773231573.0
2,256,task-clock,1635.0
2,256,cycles,5050952036.0
2,256,instructions,23142611388.0
2,256,cache-misses,66992050.0
2,256,branches,698764031.0
2,256,branch-misses,6831381.0
2,256,duration_time,846620366.0
2,512,task-clock,1532.0
2,512,cycles,4676038003.0
2,512,instructions,22803577301.0
2,512,cache-misses,37107580.0
2,512,branches,677617212.0
2,512,branch-misses,53042.0
2,512,duration_time,792410210.0
2,1024,task-clock,1484.0
2,1024,cycles,4615481929.0
2,1024,instructions,22635133714.0
2,1024,cache-misses,18820719.0
2,1024,branches,667141476.0
2,1024,branch-misses,37121.0
2,1024,duration_time,787228646.0
2,2048,task-clock,1480.0
2,2048,cycles,4644815874.0
2,2048,instructions,22548497517.0
2,2048,cache-misses,5564243.0
2,2048,branches,661163539.0
2,2048,branch-misses,1080801.0
2,2048,duration_time,1481203221.0
4,2,task-clock,201990.0
4,2,cycles,257205761860.0
4,2,instructions,736999981691.0
4,2,cache-misses,176164206.0
4,2,branches,109258121289.0
4,2,branch-misses,1396942136.0
4,2,duration_time,50760195519.0
4,4,task-clock,28745.0
4,4,cycles,45003911742.0
4,4,instructions,156017133897.0
4,4,cache-misses,27336645.0
4,4,branches,16449414327.0
4,4,branch-misses,175620841.0
4,4,duration_time,7251539425.0
4,8,task-clock,7080.0
4,8,cycles,14775174959.0
4,8,instructions,57285696545.0
4,8,cache-misses,8785694.0
4,8,branches,3672503167.0
4,8,branch-misses,25944983.0
4,8,duration_time,1819769631.0
4,16,task-clock,3241.0
4,16,cycles,8022965723.0
4,16,instructions,35374992720.0
4,16,cache-misses,4639302.0
4,16,branches,1545080433.0
4,16,branch-misses,3861828.0
4,16,duration_time,849041714.0
4,32,task-clock,2212.0
4,32,cycles,6222321108.0
4,32,instructions,28233132304.0
4,32,cache-misses,11708956.0
4,32,branches,1021529136.0
4,32,branch-misses,818318.0
4,32,duration_time,591781630.0
4,64,task-clock,1890.0
4,64,cycles,5158621060.0
4,64,instructions,25232714691.0
4,64,cache-misses,16089434.0
4,64,branches,828641700.0
4,64,branch-misses,1214494.0
4,64,duration_time,513121341.0
4,128,task-clock,1791.0
4,128,cycles,4875405858.0
4,128,instructions,23829065725.0
4,128,cache-misses,28036248.0
4,128,branches,741695886.0
4,128,branch-misses,315885.0
4,128,duration_time,490167648.0
4,256,task-clock,1973.0
4,256,cycles,5220093462.0
4,256,instructions,23148804199.0
4,256,cache-misses,372884267.0
4,256,branches,700532177.0
4,256,branch-misses,7987354.0
4,256,duration_time,533766441.0
4,512,task-clock,1914.0
4,512,cycles,5276525832.0
4,512,instructions,22803662839.0
4,512,cache-misses,259165408.0
4,512,branches,677640607.0
4,512,branch-misses,52784.0
4,512,duration_time,519694033.0
4,1024,task-clock,1789.0
4,1024,cycles,4502978761.0
4,1024,instructions,22638648268.0
4,1024,cache-misses,61051486.0
4,1024,branches,668145096.0
4,1024,branch-misses,37707.0
4,1024,duration_time,489133953.0
4,2048,task-clock,1560.0
4,2048,cycles,4887332428.0
4,2048,instructions,22548497546.0
4,2048,cache-misses,6860273.0
4,2048,branches,661163567.0
4,2048,branch-misses,1080711.0
4,2048,duration_time,1562389960.0
6,2,task-clock,199704.0
6,2,cycles,255873449514.0
6,2,instructions,736999861286.0
6,2,cache-misses,173222165.0
6,2,branches,109260271201.0
6,2,branch-misses,1397045794.0
6,2,duration_time,50581066363.0
6,4,task-clock,29397.0
6,4,cycles,45139275450.0
6,4,instructions,156453473085.0
6,4,cache-misses,28457795.0
6,4,branches,16534319826.0
6,4,branch-misses,176370441.0
6,4,duration_time,7387522064.0
6,8,task-clock,7310.0
6,8,cycles,15412699550.0
6,8,instructions,57343585190.0
6,8,cache-misses,12306372.0
6,8,branches,3684091528.0
6,8,branch-misses,26128238.0
6,8,duration_time,1886976016.0
6,16,task-clock,3750.0
6,16,cycles,9478234477.0
6,16,instructions,35388668128.0
6,16,cache-misses,17332442.0
6,16,branches,1548377864.0
6,16,branch-misses,4173402.0
6,16,duration_time,977435302.0
6,32,task-clock,2285.0
6,32,cycles,6143670950.0
6,32,instructions,28239862335.0
6,32,cache-misses,10141335.0
6,32,branches,1023387929.0
6,32,branch-misses,822015.0
6,32,duration_time,607660763.0
6,64,task-clock,2120.0
6,64,cycles,5437238128.0
6,64,instructions,25239508816.0
6,64,cache-misses,18311260.0
6,64,branches,830573151.0
6,64,branch-misses,1264988.0
6,64,duration_time,564511060.0
6,128,task-clock,2246.0
6,128,cycles,5349702887.0
6,128,instructions,23836007935.0
6,128,cache-misses,32592360.0
6,128,branches,743678902.0
6,128,branch-misses,344101.0
6,128,duration_time,602917738.0
6,256,task-clock,2711.0
6,256,cycles,5628947712.0
6,256,instructions,23152411925.0
6,256,cache-misses,115182490.0
6,256,branches,701562304.0
6,256,branch-misses,7439665.0
6,256,duration_time,715063075.0
6,512,task-clock,2112.0
6,512,cycles,5540134997.0
6,512,instructions,22815757544.0
6,512,cache-misses,223124060.0
6,512,branches,681095488.0
6,512,branch-misses,57686.0
6,512,duration_time,568622899.0
6,1024,task-clock,2003.0
6,1024,cycles,4842592576.0
6,1024,instructions,22647370316.0
6,1024,cache-misses,61999312.0
6,1024,branches,670636436.0
6,1024,branch-misses,41333.0
6,1024,duration_time,541496729.0
6,2048,task-clock,1604.0
6,2048,cycles,5014409494.0
6,2048,instructions,22548497635.0
6,2048,cache-misses,7834058.0
6,2048,branches,661163657.0
6,2048,branch-misses,1081692.0
6,2048,duration_time,1606082105.0
8,2,task-clock,201828.0
8,2,cycles,259263836753.0
8,2,instructions,740453504819.0
8,2,cache-misses,177932416.0
8,2,branches,109936017669.0
8,2,branch-misses,1399797766.0
8,2,duration_time,50561879749.0
8,4,task-clock,31733.0
8,4,cycles,47728125226.0
8,4,instructions,156460550159.0
8,4,cache-misses,34412618.0
8,4,branches,16536339757.0
8,4,branch-misses,178418988.0
8,4,duration_time,8110509692.0
8,8,task-clock,7021.0
8,8,cycles,14591332140.0
8,8,instructions,57290729455.0
8,8,cache-misses,8441098.0
8,8,branches,3674086827.0
8,8,branch-misses,25991564.0
8,8,duration_time,1795207423.0
8,16,task-clock,3333.0
8,16,cycles,8232891592.0
8,16,instructions,35388642230.0
8,16,cache-misses,4852645.0
8,16,branches,1548978945.0
8,16,branch-misses,3913997.0
8,16,duration_time,865414320.0
8,32,task-clock,2270.0
8,32,cycles,6185933837.0
8,32,instructions,28248348961.0
8,32,cache-misses,10565942.0
8,32,branches,1025812166.0
8,32,branch-misses,810115.0
8,32,duration_time,596633627.0
8,64,task-clock,1964.0
8,64,cycles,5320224737.0
8,64,instructions,25245478459.0
8,64,cache-misses,16967934.0
8,64,branches,832287230.0
8,64,branch-misses,1192225.0
8,64,duration_time,521296662.0
8,128,task-clock,1844.0
8,128,cycles,4987200197.0
8,128,instructions,23838363888.0
8,128,cache-misses,29890085.0
8,128,branches,744350025.0
8,128,branch-misses,323111.0
8,128,duration_time,493517940.0
8,256,task-clock,2013.0
8,256,cycles,5338302936.0
8,256,instructions,23155105449.0
8,256,cache-misses,373056260.0
8,256,branches,702331138.0
8,256,branch-misses,7269314.0
8,256,duration_time,537218727.0
8,512,task-clock,1984.0
8,512,cycles,5499556733.0
8,512,instructions,22819039534.0
8,512,cache-misses,267152829.0
8,512,branches,682032452.0
8,512,branch-misses,53513.0
8,512,duration_time,530595987.0
8,1024,task-clock,1841.0
8,1024,cycles,4636655191.0
8,1024,instructions,22650155751.0
8,1024,cache-misses,61248264.0
8,1024,branches,671431688.0
8,1024,branch-misses,38107.0
8,1024,duration_time,492348099.0
8,2048,task-clock,1510.0
8,2048,cycles,4685759999.0
8,2048,instructions,22548497528.0
8,2048,cache-misses,6510136.0
8,2048,branches,661163550.0
8,2048,branch-misses,1080907.0
8,2048,duration_time,1511659964.0
10,2,task-clock,196874.0
10,2,cycles,254891811017.0
10,2,instructions,740458901991.0
10,2,cache-misses,165026399.0
10,2,branches,109937569692.0
10,2,branch-misses,1391071537.0
10,2,duration_time,49432921527.0
10,4,task-clock,28915.0
10,4,cycles,45082455080.0
10,4,instructions,156464837372.0
10,4,cache-misses,26899884.0
10,4,branches,16537566852.0
10,4,branch-misses,175552113.0
10,4,duration_time,7287409895.0
10,8,task-clock,7132.0
10,8,cycles,14996159755.0
10,8,instructions,57353360046.0
10,8,cache-misses,8447746.0
10,8,branches,3686883440.0
10,8,branch-misses,25614682.0
10,8,duration_time,1815858298.0
10,16,task-clock,3303.0
10,16,cycles,8117690675.0
10,16,instructions,35399261959.0
10,16,cache-misses,5843333.0
10,16,branches,1551403671.0
10,16,branch-misses,3922009.0
10,16,duration_time,852455844.0
10,32,task-clock,2272.0
10,32,cycles,6229114384.0
10,32,instructions,28251814173.0
10,32,cache-misses,11110968.0
10,32,branches,1026864845.0
10,32,branch-misses,822949.0
10,32,duration_time,593181864.0
10,64,task-clock,1948.0
10,64,cycles,5308348549.0
10,64,instructions,25249459178.0
10,64,cache-misses,17935763.0
10,64,branches,833423829.0
10,64,branch-misses,1193875.0
10,64,duration_time,512435028.0
10,128,task-clock,1865.0
10,128,cycles,5042626651.0
10,128,instructions,23844569352.0
10,128,cache-misses,29054113.0
10,128,branches,746122386.0
10,128,branch-misses,322133.0
10,128,duration_time,492124293.0
10,1024,task-clock,1843.0
10,1024,cycles,4634985295.0
10,1024,instructions,22655331097.0
10,1024,cache-misses,63493885.0
10,1024,branches,672909521.0
10,1024,branch-misses,38804.0
10,1024,duration_time,487590740.0
10,2048,task-clock,1489.0
10,2048,cycles,4655962719.0
10,2048,instructions,22548497531.0
10,2048,cache-misses,6919501.0
10,2048,branches,661163544.0
10,2048,branch-misses,1080752.0
10,2048,duration_time,1491259505.0
12,2,task-clock,196387.0
12,2,cycles,255388278226.0
12,2,instructions,740466838853.0
12,2,cache-misses,165383789.0
12,2,branches,109939839601.0
12,2,branch-misses,1388371472.0
12,2,duration_time,49402598176.0
12,4,task-clock,28724.0
12,4,cycles,45048676997.0
12,4,instructions,156037933215.0
12,4,cache-misses,26754464.0
12,4,branches,16455129713.0
12,4,branch-misses,175200440.0
12,4,duration_time,7237246973.0
12,8,task-clock,7063.0
12,8,cycles,14677575006.0
12,8,instructions,57356384364.0
12,8,cache-misses,8438881.0
12,8,branches,3687746823.0
12,8,branch-misses,25698645.0
12,8,duration_time,1789790751.0
12,16,task-clock,3577.0
12,16,cycles,8459534488.0
12,16,instructions,35395639058.0
12,16,cache-misses,5447887.0
12,16,branches,1550976898.0
12,16,branch-misses,4062279.0
12,16,duration_time,916071848.0
12,32,task-clock,2354.0
12,32,cycles,6478675766.0
12,32,instructions,28257265813.0
12,32,cache-misses,11854172.0
12,32,branches,1028421796.0
12,32,branch-misses,840998.0
12,32,duration_time,606299701.0
12,64,task-clock,1993.0
12,64,cycles,5407180210.0
12,64,instructions,25257409525.0
12,64,cache-misses,16780426.0
12,64,branches,835685504.0
12,64,branch-misses,1191149.0
12,64,duration_time,518293204.0
12,128,task-clock,1886.0
12,128,cycles,5081914083.0
12,128,instructions,23851628113.0
12,128,cache-misses,29931867.0
12,128,branches,748139727.0
12,128,branch-misses,316280.0
12,128,duration_time,494660058.0
12,1024,task-clock,1880.0
12,1024,cycles,4767208937.0
12,1024,instructions,22663122050.0
12,1024,cache-misses,70279060.0
12,1024,branches,675135149.0
12,1024,branch-misses,39069.0
12,1024,duration_time,493091472.0
12,2048,task-clock,1495.0
12,2048,cycles,4686232247.0
12,2048,instructions,22548497533.0
12,2048,cache-misses,6731355.0
12,2048,branches,661163546.0
12,2048,branch-misses,1080620.0
12,2048,duration_time,1497481343.0
